id,url,title,visit_count,typed,last_visit
25,https://neoquant.com/products/data-platform/,Data Platform - NeoQuant,1,0,2025-12-02 15:26:44
24,https://neoquant.com/,NeoQuant - Data Engineering & Digital Finance,1,0,2025-12-02 15:26:16
23,https://www.google.com/search?q=neo+quant&source=hp,neo quant - Google Search,1,1,2025-12-02 15:25:58
22,https://www.practical-devsecops.com/thank-you/,Thank you - Practical DevSecOps,1,0,2025-12-02 15:24:15
21,https://www.practical-devsecops.com/downloads/Common-API-Attack-Vectors.pdf,Common-API-Attack-Vectors.pdf,1,0,2025-12-02 15:24:02
20,https://www.practical-devsecops.com/api-security-fundamentals/,API Security Fundamentals ebook - Practical DevSecOps,1,0,2025-12-02 15:23:29
19,https://www.google.com/url?q=https://www.practical-devsecops.com/api-security-fundamentals/,,1,0,2025-12-02 15:23:28
18,https://www.google.com/search?q=Common+api+vectors.pdf+download&source=hp,Common api vectors.pdf download - Google Search,1,1,2025-12-02 15:23:11
3,https://portswigger.net/web-security/sql-injection,What is SQL Injection? Tutorial & Examples | Web Security Academy,2,0,2025-12-02 15:22:48
17,https://portswigger.net/web-security/sql-injection/cheat-sheet,SQL injection cheat sheet | Web Security Academy,1,0,2025-12-02 15:22:30
16,https://www.google.com/search?q=Check+API+vulnerabilities+using+chrome+DevTools+network+tab&source=hp,Check API vulnerabilities using chrome DevTools network tab - Google Search,1,1,2025-12-02 15:21:49
15,https://owasp.org/API-Security/editions/2023/en/0x11-t10/,OWASP API Security Top 10 2023,1,0,2025-12-02 15:21:25
14,https://www.google.com/search?q=Common+api+parameters+that+leak+database+info&source=hp,Common api parameters that leak database info - Google Search,1,1,2025-12-02 15:21:00
13,https://developer.mozilla.org/en-US/docs/Web/HTTP/Methods,HTTP request methods - MDN Web Docs,1,0,2025-12-02 15:20:40
12,https://www.google.com/search?q=Bypass+client-side+validation+by+modifying+URL&source=hp,Bypass client-side validation by modifying URL - Google Search,1,1,2025-12-02 15:20:16
11,https://www.google.com/search?q=How+to+force+debug+mode+using+URL+parameters&source=hp,How to force debug mode using URL parameters - Google Search,1,1,2025-12-02 15:19:41
6,https://owasp.org/www-project-web-security-testing-guide/,OWASP Web Security Testing Guide | OWASP Foundation,2,0,2025-12-02 15:19:22
10,https://www.google.com/search?q=Financial+api+sql+injection+examples&source=hp,Financial api sql injection examples - Google Search,1,1,2025-12-02 15:19:06
9,https://apisecurity.io/,API Security News,1,0,2025-12-02 15:18:55
8,http://apisecurity.io/,API Security News,1,0,2025-12-02 15:18:52
7,https://www.google.com/search?q=Find+exposed+database+endpoints+in+API&source=hp,Find exposed database endpoints in API - Google Search,1,1,2025-12-02 15:18:31
5,https://www.google.com/search?q=Test+sql+injection+using+browser+only&source=hp,Test sql injection using browser only - Google Search,1,1,2025-12-02 15:17:40
4,https://stackoverflow.com/questions/332365/how-does-the-sql-injection-from-bobby-tables-work,How does the SQL injection from the Bobby Tables XKCD comic work? - Stack Overflow,1,0,2025-12-02 15:17:12
2,https://www.google.com/search?q=NeoQuant+sql+error+page+exploit&source=hp,NeoQuant sql error page exploit - Google Search,1,1,2025-12-02 15:16:22
1,https://www.google.com/,Google,1,1,2025-12-02 15:15:40
