timestamp,source,event_type,description,detail,severity,indicators
2025-12-02 15:27:06,formhistory.sqlite,typed:q,api documentation,used 3x,high,api_enumeration
2025-12-02 15:27:20,places.sqlite,visit:Interacted with link,About us - NeoQuant,https://neoquant.com/about/,critical,target_organisation
2025-12-02 15:27:41,formhistory.sqlite,typed:q,database schema,used 1x,info,
2025-12-02 15:27:55,places.sqlite,visit:Interacted with link,Contact - NeoQuant,https://neoquant.com/contact/,critical,target_organisation
2025-12-02 15:28:57,places.sqlite,visit:Inputted link or selected from suggestions,Neoquant finance - internal API docs - Google Search,https://www.google.com/search?q=Neoquant+finance+-+internal+API+docs&source=hp,critical,api_enumeration;target_organisation
2025-12-02 15:28:57,formhistory.sqlite,typed:searchbar-history,Neoquant finance - internal API docs,used 2x,critical,api_enumeration;target_organisation
2025-12-02 15:29:03,places.sqlite,visit:302 reroute (temporary redirect),http://neoquant.com/white-papers,http://neoquant.com/white-papers,critical,target_organisation
2025-12-02 15:29:07,places.sqlite,visit:Interacted with link,white papers - NeoQuant,https://neoquant.com/white-papers/,critical,competitor_research;target_organisation
2025-12-02 15:29:09,formhistory.sqlite,typed:search,white paper,used 1x,info,
2025-12-02 15:29:11,places.sqlite,bookmark,white papers - NeoQuant,https://neoquant.com/white-papers/,critical,competitor_research;target_organisation
2025-12-02 15:29:31,places.sqlite,visit:Inputted link or selected from suggestions,sql injection cheat sheet - owasp - Google Search,https://www.google.com/search?q=sql+injection+cheat+sheet+-+owasp&source=hp,high,sql_injection;vulnerability_research
2025-12-02 15:29:31,formhistory.sqlite,typed:searchbar-history,sql injection cheat sheet - owasp,used 1x,high,sql_injection;vulnerability_research
2025-12-02 15:29:40,places.sqlite,visit:Interacted with link,SQL Injection | OWASP Foundation,https://owasp.org/www-community/attacks/SQL_Injection,high,sql_injection;vulnerability_research
2025-12-02 15:29:45,places.sqlite,bookmark,SQL Injection | OWASP Foundation,https://owasp.org/www-community/attacks/SQL_Injection,high,sql_injection;vulnerability_research
2025-12-02 15:29:52,places.sqlite,visit:Interacted with link,SQL Injection Prevention - OWASP Cheat Sheet Series,https://cheatsheetseries.owasp.org/cheatsheets/SQL_Injection_Prevention_Cheat_Sheet.html,high,sql_injection;vulnerability_research
2025-12-02 15:30:09,places.sqlite,visit:Inputted link or selected from suggestions,request inspector- test API requests - Google Search,https://www.google.com/search?q=request+inspector-+test+API+requests&source=hp,medium,security_tooling
2025-12-02 15:30:09,formhistory.sqlite,typed:searchbar-history,request inspector- test API requests,used 1x,medium,security_tooling
2025-12-02 15:30:12,formhistory.sqlite,typed:email,m.rao@neoquant.example,used 1x,critical,target_organisation
2025-12-02 15:30:14,places.sqlite,visit:Interacted with link,Web Request Inspector & Probe Service | Request Inspector,https://requestinspector.com/,medium,security_tooling
2025-12-02 15:30:20,places.sqlite,bookmark,Web Request Inspector & Probe Service | Request Inspector,https://requestinspector.com/,medium,security_tooling
2025-12-02 15:30:26,places.sqlite,visit:Interacted with link,Web Request Inspector & Probe Service | Request Inspector,https://requestinspector.com/,medium,security_tooling
2025-12-02 15:30:39,places.sqlite,visit:Inputted link or selected from suggestions,URLScan - analyse web behaviour - Google Search,https://www.google.com/search?q=URLScan+-+analyse+web+behaviour&source=hp,medium,security_tooling
2025-12-02 15:30:47,places.sqlite,visit:Interacted with link,https://www.google.com/aclk?sa=l&ai=DChcSEwj,https://www.google.com/aclk?sa=l&ai=DChcSEwj,info,
2025-12-02 15:30:48,places.sqlite,visit:302 reroute (temporary redirect),https://lp.similarweb.com/?utm_source=google&utm_medium=cpc,https://lp.similarweb.com/?utm_source=google&utm_medium=cpc,low,competitor_research
2025-12-02 15:30:49,places.sqlite,visit:301 reroute (permanent redirect),Competitive Analysis | Similarweb,https://lp.similarweb.com/competitive-analysis/,low,competitor_research
2025-12-02 15:30:54,places.sqlite,bookmark,Competitive Analysis | Similarweb,https://lp.similarweb.com/competitive-analysis/,low,competitor_research
2025-12-02 15:31:14,places.sqlite,visit:Inputted link or selected from suggestions,chrome devtools network inspector guide - Google Search,https://www.google.com/search?q=chrome+devtools+network+inspector+guide&source=hp,medium,security_tooling
2025-12-02 15:31:14,formhistory.sqlite,typed:searchbar-history,chrome devtools network inspector guide,used 1x,medium,security_tooling
2025-12-02 15:31:19,places.sqlite,visit:Interacted with link,Inspect network activity | Chrome DevTools | Chrome for developers,https://developer.chrome.com/docs/devtools/network/,medium,security_tooling
2025-12-02 15:31:22,places.sqlite,bookmark,Inspect network activity | Chrome DevTools | Chrome for developers,https://developer.chrome.com/docs/devtools/network/,medium,security_tooling
2025-12-02 15:31:45,places.sqlite,visit:Interacted with link,Inspect network activity | Chrome DevTools | Chrome for developers,https://developer.chrome.com/docs/devtools/network/,medium,security_tooling
2025-12-02 15:32:27,places.sqlite,visit:Inputted link or selected from suggestions,http://youtube.com/,http://youtube.com/,info,
2025-12-02 15:32:27,places.sqlite,visit:301 reroute (permanent redirect),https://youtube.com/,https://youtube.com/,info,
2025-12-02 15:32:28,places.sqlite,visit:301 reroute (permanent redirect),YouTube,https://www.youtube.com/,info,
2025-12-02 15:33:05,places.sqlite,visit:Interacted with link,lan scan internal vulnerabilities - YouTube,https://www.youtube.com/results?search_query=lan+scan+internal+vulnerabilities,high,network_recon;vulnerability_research
2025-12-02 15:33:21,places.sqlite,visit:Interacted with link,Using a LAN scan to find INTERNAL vulnerabilities,https://www.youtube.com/watch?v=GD88Pp75Klw,high,network_recon;vulnerability_research
2025-12-02 15:33:36,places.sqlite,visit:Inputted link or selected from suggestions,youtube - Google Search,https://www.google.com/search?q=youtube&source=hp,info,
2025-12-02 15:34:20,places.sqlite,visit:Interacted with link,threats vulnerabilities and exploits - YouTube,https://www.youtube.com/results?search_query=threats+vulnerabilities+and+exploits,medium,vulnerability_research
2025-12-02 15:34:50,places.sqlite,visit:Interacted with link,Threats Vulnerabilities and Exploits,https://www.youtube.com/watch?v=8zSoyAmHHc4,medium,vulnerability_research
2025-12-02 15:35:37,places.sqlite,visit:Interacted with link,AI Security Exposed: Why 95% of Companies Are Vulnerable,https://www.youtube.com/watch?v=QtwhEz-aON4,info,
2025-12-02 15:36:20,places.sqlite,visit:Inputted link or selected from suggestions,firewall penetration testing steps methods tools - Google Search,https://www.google.com/search?q=firewall+penetration+testing+steps+methods+tools&source=hp,high,network_recon;vulnerability_research
2025-12-02 15:36:20,formhistory.sqlite,typed:searchbar-history,firewall penetration testing steps methods tools,used 1x,high,network_recon;vulnerability_research
2025-12-02 15:36:46,places.sqlite,visit:Interacted with link,"Firewall Penetration Testing: Steps, Methods, and Tools",https://www.youtube.com/watch?v=0Izu0J6iSoM,high,network_recon;vulnerability_research
