visit_id,visit_date,visit_type,visit_type_label,title,url
17,2025-12-02 15:21:49,2,Inputted link or selected from suggestions,Check API vulnerabilities using chrome DevTools network tab - Google Search,https://www.google.com/search?q=Check+API+vulnerabilities+using+chrome+DevTools+network+tab&source=hp
16,2025-12-02 15:21:25,1,Interacted with link,OWASP API Security Top 10 2023,https://owasp.org/API-Security/editions/2023/en/0x11-t10/
15,2025-12-02 15:21:00,2,Inputted link or selected from suggestions,Common api parameters that leak database info - Google Search,https://www.google.com/search?q=Common+api+parameters+that+leak+database+info&source=hp
14,2025-12-02 15:20:40,1,Interacted with link,HTTP request methods - MDN Web Docs,https://developer.mozilla.org/en-US/docs/Web/HTTP/Methods
13,2025-12-02 15:20:16,2,Inputted link or selected from suggestions,Bypass client-side validation by modifying URL - Google Search,https://www.google.com/search?q=Bypass+client-side+validation+by+modifying+URL&source=hp
12,2025-12-02 15:19:41,2,Inputted link or selected from suggestions,How to force debug mode using URL parameters - Google Search,https://www.google.com/search?q=How+to+force+debug+mode+using+URL+parameters&source=hp
11,2025-12-02 15:19:22,1,Interacted with link,OWASP Web Security Testing Guide | OWASP Foundation,https://owasp.org/www-project-web-security-testing-guide/
10,2025-12-02 15:19:06,2,Inputted link or selected from suggestions,Financial api sql injection examples - Google Search,https://www.google.com/search?q=Financial+api+sql+injection+examples&source=hp
9,2025-12-02 15:18:55,6,302 reroute (temporary redirect),API Security News,https://apisecurity.io/
8,2025-12-02 15:18:52,1,Interacted with link,API Security News,http://apisecurity.io/
7,2025-12-02 15:18:31,2,Inputted link or selected from suggestions,Find exposed database endpoints in API - Google Search,https://www.google.com/search?q=Find+exposed+database+endpoints+in+API&source=hp
6,2025-12-02 15:18:05,1,Interacted with link,OWASP Web Security Testing Guide | OWASP Foundation,https://owasp.org/www-project-web-security-testing-guide/
5,2025-12-02 15:17:40,2,Inputted link or selected from suggestions,Test sql injection using browser only - Google Search,https://www.google.com/search?q=Test+sql+injection+using+browser+only&source=hp
4,2025-12-02 15:17:12,1,Interacted with link,How does the SQL injection from the Bobby Tables XKCD comic work? - Stack Overflow,https://stackoverflow.com/questions/332365/how-does-the-sql-injection-from-bobby-tables-work
3,2025-12-02 15:16:58,1,Interacted with link,What is SQL Injection? Tutorial & Examples | Web Security Academy,https://portswigger.net/web-security/sql-injection
2,2025-12-02 15:16:22,2,Inputted link or selected from suggestions,NeoQuant sql error page exploit - Google Search,https://www.google.com/search?q=NeoQuant+sql+error+page+exploit&source=hp
1,2025-12-02 15:15:40,2,Inputted link or selected from suggestions,Google,https://www.google.com/
